Name,SOURCE_ID,FileName
HE2148-3857,6585056369469080448,HE2148m3857_b_2000_05_22T09_20_05_all.dat.gz
HE2155-3150,6615959586875261056,HE2155m3150_a_2001_06_18T09_26_06_all.dat.gz
HE2155-3150,6615959586875261056,HE2155m3150_b_2001_08_17T01_52_31_all.dat.gz
HE2159-1649,6826770115204739072,HE2159m1649_a_2000_12_07T00_28_14_all.dat.gz
HE2159-1649,6826770115204739072,HE2159m1649_b_2000_12_13T00_35_41_all.dat.gz
HE2159-1649,6826770115204739072,HE2159m1649_b_2001_08_20T02_45_08_all.dat.gz
HE2203-0101,2677321641247692032,HE2203m0101_a_2002_09_23T02_59_57_all.dat.gz
HE2203-0101,2677321641247692032,HE2203m0101_b_2001_08_20T03_01_03_all.dat.gz
HE2220-0633,2625750938132516224,HE2220m0633_a_2002_09_24T04_02_05_all.dat.gz
HE2220-0633,2625750938132516224,HE2220m0633_b_2001_08_23T02_52_16_all.dat.gz
HE2221-1630,2595728287804350720,HE2221m1630_a_2002_06_09T09_32_06_all.dat.gz
HE2221-1630,2595728287804350720,HE2221m1630_b_2001_08_23T03_06_53_all.dat.gz
HE2230-1230,2601689466188247808,HE2230m1230_a_2001_06_19T09_42_28_all.dat.gz
HE2230-1230,2601689466188247808,HE2230m1230_b_2001_08_23T03_40_00_all.dat.gz
HE2238-0433,2625067484281097856,HE2238m0433_a_2001_09_20T04_45_53_all.dat.gz
HE2238-0433,2625067484281097856,HE2238m0433_b_2002_09_25T03_00_08_all.dat.gz
HE2238-0433,2625067484281097856,HE2238m0433_b_2003_06_14T09_41_58_all.dat.gz
HE2246-0658,2611423167751076224,HE2246m0658_a_2001_09_20T04_56_40_all.dat.gz
HE2246-0658,2611423167751076224,HE2246m0658_b_2002_09_24T05_47_38_all.dat.gz
HE2246-0658,2611423167751076224,HE2246m0658_b_2003_06_13T10_17_32_all.dat.gz
HE2251-6218,6394778525002127104,HE2251m6218_a_2001_09_01T01_02_46_all.dat.gz
HE2251-6218,6394778525002127104,HE2251m6218_b_2001_09_02T00_12_35_all.dat.gz
HE2315-0511,2633791288709297792,HE2315m0511_a_2000_07_11T04_35_06_all.dat.gz
HE2315-0511,2633791288709297792,HE2315m0511_a_2000_07_11T04_46_35_all.dat.gz
HE2315-0511,2633791288709297792,HE2315m0511_b_2000_07_17T06_55_21_all.dat.gz
HE2334-1355,2432056468657830784,HE2334m1355_a_2002_09_27T04_37_55_all.dat.gz
HE2334-1355,2432056468657830784,HE2334m1355_b_2002_09_30T02_20_16_all.dat.gz
HE2345-4810,6524412152806190336,HE2345m4810_a_2001_09_10T02_22_09_all.dat.gz
HE2345-4810,6524412152806190336,HE2345m4810_b_2002_07_11T09_27_30_all.dat.gz
HE2347-4608,6530721803358467968,HE2347m4608_a_2002_09_15T02_23_24_all.dat.gz
HE2347-4608,6530721803358467968,HE2347m4608_b_2002_09_25T07_14_35_all.dat.gz
HE2356-4513,6530974072557448064,HE2356m4513_a_2001_09_11T02_57_10_all.dat.gz
HE2356-4513,6530974072557448064,HE2356m4513_a_2002_07_11T08_40_10_all.dat.gz
HE2356-4513,6530974072557448064,HE2356m4513_b_2002_07_11T08_52_25_all.dat.gz
HE2356-4513,6530974072557448064,HE2356m4513_b_2002_08_14T09_40_13_all.dat.gz
HS0002+1635,2772855182928578560,HS0002p1635_a_2002_12_02T01_07_32_all.dat.gz
HS0002+1635,2772855182928578560,HS0002p1635_b_2003_09_07T04_47_46_all.dat.gz
HS0047+1903,2788992130973584640,HS0047p1903_a_2002_09_19T04_38_23_all.dat.gz
HS0047+1903,2788992130973584640,HS0047p1903_b_2002_09_27T05_30_43_all.dat.gz
HS0047+1903,2788992130973584640,HS0047p1903_b_2003_09_07T05_01_56_all.dat.gz
HS0129+1041,2585306399337120128,HS0129p1041_a_2002_09_19T05_40_54_all.dat.gz
HS0129+1041,2585306399337120128,HS0129p1041_b_2002_09_27T07_18_24_all.dat.gz
HS0130+0156,2558916466707621504,HS0130p0156_a_2002_09_30T04_37_29_all.dat.gz
HS0130+0156,2558916466707621504,HS0130p0156_b_2001_08_22T08_54_07_all.dat.gz
HS0145+1737,91690164426711040,HS0145p1737_a_2002_09_19T06_22_53_all.dat.gz
HS0145+1737,91690164426711040,HS0145p1737_b_2002_09_30T05_06_54_all.dat.gz
HS0200+2449,105299786211260160,HS0200p2449_a_2002_09_18T07_26_37_all.dat.gz
HS0200+2449,105299786211260160,HS0200p2449_b_2003_01_17T01_05_57_all.dat.gz
HS0213+1145,72992389375581440,HS0213p1145_a_2002_09_19T07_42_34_all.dat.gz
HS0213+1145,72992389375581440,HS0213p1145_b_2003_01_16T01_58_18_all.dat.gz
HS0223+1211,74336778563550464,HS0223p1211_a_2002_12_31T01_19_09_all.dat.gz
HS0225+0010,2501224305619721984,HS0225p0010_a_2002_09_20T08_11_49_all.dat.gz
HS0225+0010,2501224305619721984,HS0225p0010_b_2002_12_31T01_49_27_all.dat.gz
HS0241+1411,32880762085326336,HS0241p1411_a_2002_09_20T08_54_45_all.dat.gz
