Name,GaiaDR2,SPYTeff,SPYlogg,Rem,FileName,jul_date,obsname,SOURCE_ID,r_med_geo,GaiaEDR3,TeffH,e_TeffH,loggH,e_loggH
HE0222-2630,5118634309888681600,23198,7.91,,HE0222m2630_b_2001_02_09T01_51_28_all.dat.gz,2451949.57740871981,he0222m2630_b_2451949_57740871981,5118634309888681600,107.772575,5118634309888681600,23194.38,625.7,7.995115,0.038525
HE0245-0008,2498564582697028864,18813,7.98,,HE0245m0008_a_2003_01_16T02_40_10_all.dat.gz,2452655.61122829001,he0245m0008_a_2452655_61122829001,2498564582697028864,123.75925,2498564582697028864,16964.82,537.21,7.915677,0.047941
HE0246-5449,4740913887782857216,15949,7.83,,HE0246m5449_a_2002_09_20T06_52_14_all.dat.gz,2452537.78627328994,he0246m5449_a_2452537_78627328994,4740913887782857216,111.214165,4740913887782857216,15240.48,340.43,7.927049,0.03429
HE0246-5449,4740913887782857216,15949,7.83,,HE0246m5449_b_2002_09_22T04_50_46_all.dat.gz,2452539.70192330983,he0246m5449_b_2452539_70192330983,4740913887782857216,111.214165,4740913887782857216,15240.48,340.43,7.927049,0.03429
HE0255-1100,5160899536860481664,20827,7.84,,HE0255m1100_a_2001_02_09T00_38_09_all.dat.gz,2451949.52649880014,he0255m1100_a_2451949_52649880014,5160899536860481664,144.06204,5160899536860481664,21011.15,736.24,7.959382,0.055323
HE0255-1100,5160899536860481664,20827,7.84,,HE0255m1100_b_2002_09_20T07_24_17_all.dat.gz,2452537.80853756983,he0255m1100_b_2452537_80853756983,5160899536860481664,144.06204,5160899536860481664,21011.15,736.24,7.959382,0.055323
HE0256-1802,5152564272353619072,26212,7.76,,HE0256m1802_a_2002_09_20T07_38_47_all.dat.gz,2452537.81860690983,he0256m1802_a_2452537_81860690983,5152564272353619072,192.53035,5152564272353619072,25028.25,1179.74,7.80799,0.079787
HE0256-1802,5152564272353619072,26212,7.76,,HE0256m1802_b_2002_12_08T06_26_35_all.dat.gz,2452616.76846795017,he0256m1802_b_2452616_76846795017,5152564272353619072,192.53035,5152564272353619072,25028.25,1179.74,7.80799,0.079787
HE0257-2104,5079634765595460736,17362,7.69,,HE0257m2104_a_2002_09_20T07_54_12_all.dat.gz,2452537.82930772007,he0257m2104_a_2452537_82930772007,5079634765595460736,123.30459,5079634765595460736,16100.59,545.99,7.745252,0.047511
HE0257-2104,5079634765595460736,17362,7.69,,HE0257m2104_b_2002_12_08T06_41_18_all.dat.gz,2452616.77868545987,he0257m2104_b_2452616_77868545987,5079634765595460736,123.30459,5079634765595460736,16100.59,545.99,7.745252,0.047511
HE0300-2313,5078074837769743744,22369,8.39,,HE0300m2313_a_2000_12_06T02_12_35_all.dat.gz,2451884.59207904013,he0300m2313_a_2451884_59207904013,5078074837769743744,78.991356,5078074837769743744,22882.16,572.76,8.385847,0.032471
HE0300-2313,5078074837769743744,22369,8.39,,HE0300m2313_b_2000_12_07T03_42_40_all.dat.gz,2451885.65462996997,he0300m2313_b_2451885_65462996997,5078074837769743744,78.991356,5078074837769743744,22882.16,572.76,8.385847,0.032471
HE0303-2041,5103714555575829888,9959,7.87,,HE0303m2041_a_2002_09_21T06_59_20_all.dat.gz,2452538.79121163022,he0303m2041_a_2452538_79121163022,5103714555575829888,59.741676,5103714555575829888,10062.04,144.58,8.099268,0.033315
HE0303-2041,5103714555575829888,9959,7.87,,HE0303m2041_b_2002_09_27T09_13_45_all.dat.gz,2452544.88455364015,he0303m2041_b_2452544_88455364015,5103714555575829888,59.741676,5103714555575829888,10062.04,144.58,8.099268,0.033315
HE0305-1145,5159714332045197568,26822,7.81,,HE0305m1145_a_2000_12_11T02_53_54_all.dat.gz,2451889.62077517994,he0305m1145_a_2451889_62077517994,5159714332045197568,157.12376,5159714332045197568,25600.1,854.58,7.779326,0.059088
HE0305-1145,5159714332045197568,26822,7.81,,HE0305m1145_a_2001_02_08T00_55_41_all.dat.gz,2451948.53867158992,he0305m1145_a_2451948_53867158992,5159714332045197568,157.12376,5159714332045197568,25600.1,854.58,7.779326,0.059088
HE0305-1145,5159714332045197568,26822,7.81,,HE0305m1145_b_2001_02_07T01_10_06_all.dat.gz,2451947.54868400982,he0305m1145_b_2451947_54868400982,5159714332045197568,157.12376,5159714332045197568,25600.1,854.58,7.779326,0.059088
HE0308-2305,5075443981321647744,23565,8.54,,HE0308m2305_a_2001_02_09T01_20_32_all.dat.gz,2451949.55592624005,he0308m2305_a_2451949_55592624005,5075443981321647744,55.67945,5075443981321647744,24000.5,528.4,8.571521,0.025785
HE0308-2305,5075443981321647744,23565,8.54,,HE0308m2305_b_2001_02_07T01_44_01_all.dat.gz,2451947.57224287977,he0308m2305_b_2451947_57224287977,5075443981321647744,55.67945,5075443981321647744,24000.5,528.4,8.571521,0.025785
HE0317-2120,5100053078775660160,9638,7.83,,HE0317m2120_a_2001_02_06T03_12_20_all.dat.gz,2451946.63357562991,he0317m2120_a_2451946_63357562991,5100053078775660160,49.10105,5100053078775660160,9720.68,103.47,7.99286,0.027861
HE0317-2120,5100053078775660160,9638,7.83,,HE0317m2120_b_2001_02_07T02_08_39_all.dat.gz,2451947.58934840001,he0317m2120_b_2451947_58934840001,5100053078775660160,49.10105,5100053078775660160,9720.68,103.47,7.99286,0.027861
HE0320-1917,5104856776357892480,13248,7.17,,HE0320m1917_a_2001_02_06T03_28_27_all.dat.gz,2451946.64476200985,he0320m1917_a_2451946_64476200985,5104856776357892480,114.41271,5104856776357892480,11370.95,152.87,7.204965,0.020571
HE0320-1917,5104856776357892480,13248,7.17,,HE0320m1917_b_2001_02_07T02_38_31_all.dat.gz,2451947.61009019986,he0320m1917_b_2451947_61009019986,5104856776357892480,114.41271,5104856776357892480,11370.95,152.87,7.204965,0.020571
HE0324-0646,5168944835239726080,15740,7.87,,HE0324m0646_a_2002_02_27T00_49_26_all.dat.gz,2452332.53433087002,he0324m0646_a_2452332_53433087002,5168944835239726080,74.847336,5168944835239726080,15145.89,292.5,8.051509,0.027559
HE0324-0646,5168944835239726080,15740,7.87,,HE0324m0646_b_2002_03_04T00_25_34_all.dat.gz,2452337.51776055992,he0324m0646_b_2452337_51776055992,5168944835239726080,74.847336,5168944835239726080,15145.89,292.5,8.051509,0.027559
HE0324-2234,5098930339964725248,16905,7.84,,HE0324m2234_a_2002_03_05T00_31_57_all.dat.gz,2452338.52219745982,he0324m2234_a_2452338_52219745982,5098930339964725248,116.328415,5098930339964725248,16348.87,451.9,7.995435,0.042743
HE0324-2234,5098930339964725248,16905,7.84,,HE0324m2234_b_2002_09_14T09_26_22_all.dat.gz,2452531.89331091009,he0324m2234_b_2452531_89331091009,5098930339964725248,116.328415,5098930339964725248,16348.87,451.9,7.995435,0.042743
HE0325-4033,4849811172961336960,16737,7.7,,HE0325m4033_a_2002_09_21T08_54_24_all.dat.gz,2452538.87112032995,he0325m4033_a_2452538_87112032995,4849811172961336960,104.711006,4849811172961336960,11428.69,159.2,7.568208,0.022348
HE0325-4033,4849811172961336960,16737,7.7,,HE0325m4033_b_2002_09_22T05_51_33_all.dat.gz,2452539.74414124014,he0325m4033_b_2452539_74414124014,4849811172961336960,104.711006,4849811172961336960,11428.69,159.2,7.568208,0.022348
HE0330-4736,4833967725801565696,13437,7.95,,HE0330m4736_a_2000_12_07T04_01_32_all.dat.gz,2451885.66773212003,he0330m4736_a_2451885_66773212003,4833967725801565696,71.31059,4833967725801565696,13160.13,216.8,8.087786,0.018761
HE0330-4736,4833967725801565696,13437,7.95,,HE0330m4736_b_2000_12_13T06_58_13_all.dat.gz,2451891.7904354902,he0330m4736_b_2451891_7904354902,4833967725801565696,71.31059,4833967725801565696,13160.13,216.8,8.087786,0.018761
HE0333-2201,5088334621288740992,16046,8.19,,HE0333m2201_a_2000_12_11T03_49_30_all.dat.gz,2451889.6593756699,he0333m2201_a_2451889_6593756699,5088334621288740992,59.05271,5088334621288740992,15923.12,275.63,8.259031,0.021472
HE0333-2201,5088334621288740992,16046,8.19,,HE0333m2201_b_2001_01_15T02_24_25_all.dat.gz,2451924.60029122001,he0333m2201_b_2451924_60029122001,5088334621288740992,59.05271,5088334621288740992,15923.12,275.63,8.259031,0.021472
HE0336-0741,3243842361760113408,15854,7.77,,HE0336m0741_a_2002_03_03T01_11_18_all.dat.gz,2452336.54952005018,he0336m0741_a_2452336_54952005018,3243842361760113408,106.39995,3243842361760113408,14928.03,426.92,8.007641,0.043904
HE0336-0741,3243842361760113408,15854,7.77,,HE0336m0741_b_2002_03_01T00_55_00_all.dat.gz,2452334.53820060007,he0336m0741_b_2452334_53820060007,3243842361760113408,106.39995,3243842361760113408,14928.03,426.92,8.007641,0.043904
HE0338-3025,5055975238166788352,9911,7.87,,HE0338m3025_a_2001_09_18T08_57_10_all.dat.gz,2452170.87304020999,he0338m3025_a_2452170_87304020999,5055975238166788352,51.764923,5055975238166788352,9958.32,100.9,8.108614,0.024193
HE0338-3025,5055975238166788352,9911,7.87,,HE0338m3025_b_2001_09_19T09_25_33_all.dat.gz,2452171.89275097987,he0338m3025_b_2452171_89275097987,5055975238166788352,51.764923,5055975238166788352,9958.32,100.9,8.108614,0.024193
HE0344-1207,5114767980330242688,11497,7.91,,HE0344m1207_a_2001_02_06T02_57_09_all.dat.gz,2451946.62303047022,he0344m1207_a_2451946_62303047022,5114767980330242688,67.91311,5114767980330242688,11618.97,238.31,8.046468,0.034986
HE0344-1207,5114767980330242688,11497,7.91,,HE0344m1207_b_2001_02_07T02_53_38_all.dat.gz,2451947.62058176985,he0344m1207_b_2451947_62058176985,5114767980330242688,67.91311,5114767980330242688,11618.97,238.31,8.046468,0.034986
